Vehicle,Website,Favorite Color,Favorite Movie,Favorite Song,Favorite Book,Favorite Sports
2017 Ford F-150,www.personalblog.com,Pink,The Godfather,Like a Rolling Stone (by Bob Dylan),1984 (by George Orwell),Football
2019 Ford F-150,www.mainsite.com,Gold,Titanic,Like a Rolling Stone (by Bob Dylan),Brave New World (by Aldous Huxley),Tennis
2016 Hyundai Elantra,www.payment.com,Pink,Fight Club,Hey Jude (by The Beatles),Harry Potter and the Sorcerer's Stone (by J.K. Rowling),Golf
2014 Chevrolet Malibu,www.mainsite.com,Yellow,Titanic,Let it Be (by The Beatles),1984 (by George Orwell),Tennis
2011 Chevrolet Malibu,www.billing.com,Blue,The Godfather,Imagine (by John Lennon),Brave New World (by Aldous Huxley),Swimming
2022 Nissan Altima,www.mysite.com,Yellow,Inception,Bohemian Rhapsody (by Queen),Moby-Dick (by Herman Melville),Football
2019 Ford F-150,www.mainsite.com,Yellow,The Dark Knight,Let it Be (by The Beatles),To Kill a Mockingbird (by Harper Lee),Swimming
2022 Honda Civic,www.billing.com,Gold,The Godfather,I'm No Superman (Theme)(by Scrubs),The Catcher in the Rye (by J.D. Salinger),Cycling
2016 Jeep Wrangler,www.mainsite.com,Red,The Godfather,Sweet Child O' Mine (by Guns N' Roses),Moby-Dick (by Herman Melville),Golf
2013 Nissan Altima,www.payment.com,Gold,Inception,Sweet Child O' Mine (by Guns N' Roses),To Kill a Mockingbird (by Harper Lee),Baseball
2019 Honda Civic,www.mysite.com,Green,The Shawshank Redemption,Sweet Child O' Mine (by Guns N' Roses),1984 (by George Orwell),Handball
